Timestamp,Frequency (Hz),Amplitude (dB),Mean Amplitude (dB)
2025-11-25 11:01:25,6562.5,-72.29,
2025-11-25 11:01:25,6640.6,-78.74,
2025-11-25 11:01:25,6718.8,-75.0,
2025-11-25 11:01:25,6796.9,-68.71,
2025-11-25 11:01:25,6875.0,-67.84,
2025-11-25 11:01:25,6953.1,-70.77,
2025-11-25 11:01:25,7031.3,-71.93,
2025-11-25 11:01:25,7109.4,-75.18,
2025-11-25 11:01:25,7187.5,-72.62,
2025-11-25 11:01:25,7265.6,-79.5,
2025-11-25 11:01:25,7343.8,-68.68,
2025-11-25 11:01:25,7421.9,-70.59,
2025-11-25 11:01:25,7500.0,-71.09,
2025-11-25 11:01:25,7578.1,-81.76,
2025-11-25 11:01:25,7656.3,-81.18,
2025-11-25 11:01:25,7734.4,-78.17,
2025-11-25 11:01:25,7812.5,-78.18,
2025-11-25 11:01:25,7890.6,-77.25,
2025-11-25 11:01:25,7968.8,-68.41,
2025-11-25 11:01:25,8046.9,-67.83,
2025-11-25 11:01:25,8125.0,-81.83,
2025-11-25 11:01:25,8203.1,-72.97,
2025-11-25 11:01:25,8281.2,-73.16,
2025-11-25 11:01:25,8359.4,-75.26,
2025-11-25 11:01:25,8437.5,-79.99,
2025-11-25 11:01:25,8515.6,-80.63,
2025-11-25 11:01:25,8593.7,-73.61,
2025-11-25 11:01:25,8671.9,-71.98,
2025-11-25 11:01:25,8750.0,-77.87,
2025-11-25 11:01:25,8828.1,-80.04,
2025-11-25 11:01:25,8906.2,-90.45,
2025-11-25 11:01:25,8984.4,-78.86,
2025-11-25 11:01:25,9062.5,-73.74,
2025-11-25 11:01:25,9140.6,-69.48,
2025-11-25 11:01:25,9218.7,-68.22,
2025-11-25 11:01:25,9296.9,-73.95,
2025-11-25 11:01:25,9375.0,-80.62,
2025-11-25 11:01:25,9453.1,-74.62,
2025-11-25 11:01:25,9531.2,-72.48,
2025-11-25 11:01:25,9609.4,-70.32,
2025-11-25 11:01:25,9687.5,-82.6,
2025-11-25 11:01:25,9765.6,-79.95,
2025-11-25 11:01:25,9843.7,-73.13,
2025-11-25 11:01:25,9921.9,-71.4,
2025-11-25 11:01:25,,,-75.14
2025-11-25 11:01:25,78.1,0.0,
2025-11-25 11:01:25,156.3,-51.18,
2025-11-25 11:01:25,234.4,-61.14,
2025-11-25 11:01:25,312.5,-64.76,
2025-11-25 11:01:25,390.6,-66.4,
2025-11-25 11:01:25,468.8,-74.93,
2025-11-25 11:01:25,546.9,-77.9,
2025-11-25 11:01:25,625.0,-76.42,
2025-11-25 11:01:25,703.1,-75.61,
2025-11-25 11:01:25,781.2,-86.94,
2025-11-25 11:01:25,859.4,-82.32,
2025-11-25 11:01:25,937.5,-74.33,
2025-11-25 11:01:25,1015.6,-77.65,
2025-11-25 11:01:25,1093.7,-73.42,
2025-11-25 11:01:25,1171.9,-73.95,
2025-11-25 11:01:25,1250.0,-73.19,
2025-11-25 11:01:25,1328.1,-70.11,
2025-11-25 11:01:25,1406.2,-71.08,
2025-11-25 11:01:25,1484.4,-73.2,
2025-11-25 11:01:25,1562.5,-79.4,
2025-11-25 11:01:25,1640.6,-72.45,
2025-11-25 11:01:25,1718.7,-73.88,
